"included","table_id","priority","long_name","units","comment","questions & notes","out_name","standard_name","uncinfirmed or proposed standard name","unformatted units","cell_methods","valid_min","valid_max","ok_min_mean_abs","ok_max_mean_abs","positive","dimensions","type","name","modeling_realm","frequency","cell_measures","flag_values","flag_meanings","OMIP priority","OMIP override"
"1","3hr","1","Surface Temperature where Land or Sea Ice","K","""""skin"""" temperature of all surfaces except open ocean, sampled synoptically.","None","tslsi","surface_temperature","None","K","time: point","","","","","","longitude latitude time1","real","tslsi","land","3hr","area: areacella","None","None","",""
"1","3hr","1","Sea Surface Temperature","K","temperature of surface of open ocean, sampled synoptically.","None","tos","sea_surface_temperature","None","K","time: point area: mean where sea","","","","","","longitude latitude time1","real","tos","ocean","3hr","area: areacella","None","None","",""
"1","3hr","1","Convective Precipitation","kg m-2 s-1","at surface.  This is a 3-hour mean convective precipitation flux.","None","prc","convective_precipitation_flux","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","prc","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","Snowfall Flux","kg m-2 s-1","at surface.  Includes precipitation of all forms water in the solid phase.  This is the 3-hour mean snowfall flux.","None","prsn","snowfall_flux","None","kg m-2 s-1","time: mean","","","","","","longitude latitude time","real","prsn","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","Total Runoff","kg m-2 s-1","the total runoff (including """"drainage"""" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell, averaged over the 3-hour interval.","None","mrro","runoff_flux","None","kg m-2 s-1","time: mean area: mean where land","","","","","","longitude latitude time","real","mrro","land","3hr","area: areacella","None","None","",""
"0","3hr","1","Surface Downwelling Clear-Sky Longwave Radiation","W m-2","This is a 3-hour mean flux.","None","rldscs","surface_downwelling_longwave_flux_in_air_assuming_clear_sky","None","W m-2","time: mean","","","","","down","longitude latitude time","real","rldscs","atmos","3hr","area: areacella","None","None","",""
"0","3hr","1","Surface Downwelling Clear-Sky Shortwave Radiation","W m-2","This is a 3-hour mean flux.","None","rsdscs","surface_downwelling_shortwave_flux_in_air_assuming_clear_sky","None","W m-2","time: mean","","","","","down","longitude latitude time","real","rsdscs","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","Surface Air Pressure","Pa","sampled synoptically to diagnose atmospheric tides, this is better than mean sea level pressure.","None","ps","surface_air_pressure","None","Pa","time: point","","","","","","longitude latitude time1","real","ps","atmos","3hr","area: areacella","None","None","",""
"1","3hr","1","Cloud Area Fraction","1.0","for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Include both large-scale and convective cloud.  This is a 3-hour mean.","None","clt","cloud_area_fraction_in_atmosphere_layer","None","1.0","time: mean","","","","","","longitude latitude time","real","clt","atmos","3hr","area: areacella","None","None","",""
"0","3hr","1","Surface Diffuse Downwelling Shortwave Radiation","W m-2","This is a 3-hour mean flux.","None","rsdsdiff","surface_diffuse_downwelling_shortwave_flux_in_air","None","W m-2","time: mean","","","","","","longitude latitude time","real","rsdsdiff","atmos","3hr","area: areacella","None","None","",""
"1","6hrPlev","1","Sea Level Pressure","Pa","","None","psl","air_pressure_at_sea_level","None","Pa","","","","","","","longitude latitude time1","real","psl","atmos","6hr","area: areacella","None","None","",""
"1","6hrPlev_extr","1","Geopotential Height","m","Geopotential height","None","zg","geopotential_height","None","m","time: point","","","","","","longitude latitude plev7h time1","real","zg","atmos","6hr","area: areacella","None","None","",""
"1","6hrPlev_extr_dr","1","Eastward Wind","m s-1","plev_4","None","ua","eastward_wind","None","m s-1","time: mean","","","","","","longitude latitude plev4 time","real","ua","atmos","6hr","area: areacella","None","None","",""
