"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"2","Eastward Wind","m s-1",,"Eastward wind on pressure levels","ua","eastward_wind","time: point","None","real","longitude latitude plev7h time1","ua7h","atmos","3hr","area: areacella","HighResMIP [3hrPlev]",,"13","21db90c0a12448299f855fdab60930d4","HighResMIP","CMIP6,DECK,HighResMIP","0ad6bf06-00a8-11e6-ab7d-5404a60d96b5","x","False","False","False","False","UM:1","lo-la-p-ti__ua7h","m01s30i201,m01s30i301"
"2","Northward Wind","m s-1",,"Northward wind on pressure levels","va","northward_wind","time: point","None","real","longitude latitude plev7h time1","va7h","atmos","3hr","area: areacella","HighResMIP [3hrPlev]",,"14","2dedcb347c18e132a2f4d625abf94585","HighResMIP","CMIP6,DECK,HighResMIP","0ad6c456-00a8-11e6-ab7d-5404a60d96b5","x","False","False","False","False","UM:1","lo-la-p-ti__va7h","m01s30i202,m01s30i301"
"2","omega (=dp/dt)","Pa s-1","commonly referred to as """"omega"""", this represents the vertical component of velocity in pressure coordinates (positive down)","Omega (=dp/dt)","wap","lagrangian_tendency_of_air_pressure","time: point","None","real","longitude latitude plev7h time1","wap7h","atmos","3hr","area: areacella","HighResMIP [3hrPlev]",,"15","51fb29dd55442361fa9c5dbe23aca9c6","HighResMIP","CMIP6,DECK,HighResMIP","0ad6c97e-00a8-11e6-ab7d-5404a60d96b5","False","False","False","False","False","UM:1","lo-la-p-ti__wap7h","Structure not defined"
"2","Air Temperature","K",,"Temperature on pressure levels","ta","air_temperature","time: point","None","real","longitude latitude plev7h time1","ta7h","atmos","3hr","area: areacella","HighResMIP [3hrPlev]",,"16","b9c3eb96337c69c1c4a5aab1317f5563","HighResMIP","CMIP6,DECK,HighResMIP","0ad6cf46-00a8-11e6-ab7d-5404a60d96b5","x","False","False","False","False","UM:1","lo-la-p-ti__ta7h","m01s30i204,m01s30i301"
"2","Specific Humidity","1.0",,"Specific humidity on pressure levels","hus","specific_humidity","time: point","None","real","longitude latitude plev7h time1","hus7h","atmos","3hr","area: areacella","HighResMIP [3hrPlev]",,"17","53f4724d228998d54191c73352532ce3","HighResMIP","CMIP6,DECK,HighResMIP","0ad6d464-00a8-11e6-ab7d-5404a60d96b5","x",1,"False","False","False","UM:1","lo-la-p-ti__hus7h","m01s30i205,m01s30i301"
"1","Eastward Wind","m s-1",,"Eastward wind on 850 hPa","ua","eastward_wind","time: point","None","real","longitude latitude time1  p850","ua850","atmos","3hr","area: areacella","HighResMIP [3hr_extr]",,"13","21db90c0a12448299f855fdab60930d4","HighResMIP","CMIP6,DECK,HighResMIP","0ad69d96-00a8-11e6-ab7d-5404a60d96b5","x",1,"False","x","False","False","lo-la-ti-p__ua850","m01s30i201,m01s30i301"
"1","Northward Wind","m s-1",,"Northward wind on 850 hPa","va","northward_wind","time: point","None","real","longitude latitude time1  p850","va850","atmos","3hr","area: areacella","HighResMIP [3hr_extr]",,"14","2dedcb347c18e132a2f4d625abf94585","HighResMIP","CMIP6,DECK,HighResMIP","0ad6a2be-00a8-11e6-ab7d-5404a60d96b5","x",1,"False","x","False","False","lo-la-ti-p__va850","m01s30i202,m01s30i301"
"1","Sea Level Pressure","Pa","unset","Sea level pressure","psl","air_pressure_at_sea_level","time: point","None","real","longitude latitude time1","psl","atmos","3hr","area: areacella","HighResMIP [3hr_extr]",,"15","3d23c359f44d6a153c4dcab9e07d7cb6","HighResMIP","CMIP6,DECK,HighResMIP","0ad6a7fa-00a8-11e6-ab7d-5404a60d96b5","x",-1,"PSL","x","x","UM:1","lo-la-ti__psl","m01s16i222"
