"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"3","dry deposition rate of dry aerosol total organic matter","kg m-2 s-1","tendency of atmosphere mass content of organic dry aerosol due to dry deposition: This is the sum of dry deposition of POA and dry deposition of SOA (see next two entries). """"Mass"""" refers to the mass of organic matter, not mass of organic carbon alone.  We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available. Was called dry_pom in old ACCMIP Excel table. Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition.","tendency of atmosphere mass content of organic dry aerosol due to dry deposition: This is the sum of dry deposition of POA and dry deposition of SOA (see next two entries). """"Mass"""" refers to the mass of organic matter, not mass of organic carbon alone.","dryoa","tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_dry_deposition","time: mean","None","real","longitude latitude time","dryoa","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"25","6f095163598ce89d463f74ae2a096270","CFMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP","baac60f6-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti__dryoa","m01s38i224,m01s38i225,m01s38i226,m01s38i227,m01s38i228,m01s38i224"
"3","Dry Deposition Rate of Dry Aerosol Primary Organic Matter","kg m-2 s-1","unset","None","drypoa","tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition","time: mean","None","real","longitude latitude time","drypoa","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"26","4d7607b75dc7b08d1488defd5f2c08f1","CFMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP","baac6358-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti__drypoa",
"3","Dry Deposition Rate of Dry Aerosol Secondary Organic Matter","kg m-2 s-1","unset","None","drysoa","tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_dry_deposition","time: mean","None","real","longitude latitude time","drysoa","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"27","fc43e59d8479af41ad2a90b173404388","CFMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP","baac70aa-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti__drysoa",
"3","dry deposition rate of black carbon aerosol mass","kg m-2 s-1","Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition.","None","drybc","tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_dry_deposition","time: mean","None","real","longitude latitude time","drybc","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"28","f17637206609c6f9e14190d3ac6a1e6b","CFMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP","baac3b4e-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti__drybc","m01s38i220,m01s38i221,m01s38i222,m01s38i223,m01s38i220"
"3","wet deposition rate of dry aerosol total organic matter","kg m-2 s-1","tendency of atmosphere mass content of organic matter dry aerosols due to wet deposition: This is the sum of wet deposition of POA and wet deposition of SOA (see next two entries). """"Mass"""" refers to the mass of organic matter, not mass of organic carbon alone. We recommend a scale factor of POM=1.4*OC, unless your model has more detailed info available. Was called wet_pom in old ACCMIP Excel spreadsheet.","tendency of atmosphere mass content of organic matter dry aerosols due to wet deposition: This is the sum of wet deposition of POA and wet deposition of SOA (see next two entries). """"Mass"""" refers to the mass of organic matter, not mass of organic carbon alone.","wetoa","tendency_of_atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_due_to_wet_deposition","time: mean","None","real","longitude latitude time","wetoa","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"29","646edc2e8f1c393b5569dba5d598f8c8","CFMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP","babd335e-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti__wetoa",
"3","Wet Deposition Rate of Dry Aerosol Primary Organic Matter","kg m-2 s-1","unset","None","wetpoa","tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition","time: mean","None","real","longitude latitude time","wetpoa","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"30","0da9f4677eb360702f03e151e76dbbe2","CFMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP","babd3584-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti__wetpoa",
"3","Wet Deposition Rate of Dry Aerosol Secondary Organic Matter","kg m-2 s-1","unset","None","wetsoa","tendency_of_atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_due_to_wet_deposition","time: mean","None","real","longitude latitude time","wetsoa","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"31","2eb007892fc8c9964cc72770fd621000","CFMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP","babd40f6-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti__wetsoa",
"3","wet deposition rate of black carbon aerosol mass","kg m-2 s-1",,"None","wetbc","tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_wet_deposition","time: mean","None","real","longitude latitude time","wetbc","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"32","0b3fc46bf32dfbd9d36cdb72e827eb29","CFMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DECK,GeoMIP,HighResMIP,PMIP","babd1ab8-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti__wetbc",
"1","Total Emission of Primary Aerosol from Biomass Burning","kg m-2 s-1","tendency of atmosphere mass content of primary organic matter dry aerosol due to emission: This does not include sources of secondary aerosols from biomass burning aerosols, such as SO2 or SOA.","tendency of atmosphere mass content of primary organic matter dry aerosol due to emission: This does not include sources of secondary aerosols from biomass burning aerosols, such as SO2 or SOA.","emibb","tendency_of_atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_due_to_emission","time: mean","None","real","longitude latitude time","emibb","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"33","41728d2443040e4069813f006293b560","CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP","baacb15a-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","False","lo-la-ti__emibb",
"1","total emission rate of so2","kg m-2 s-1","Integrate 3D emission field vertically to 2d field.","None","emiso2","tendency_of_atmosphere_mass_content_of_sulfur_dioxide_due_to_emission","time: mean","None","real","longitude latitude time","emiso2","aerosol","mon","area: areacella","CMIP5 [aero] ((isd.002))",,"34","e35112d35f6f5cc88e1ebceefbd09133","CFMIP,DAMIP,GeoMIP,HighResMIP,PMIP","CFMIP,CMIP6,DAMIP,DECK,GeoMIP,HighResMIP,PMIP","baace80a-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","False","lo-la-ti__emiso2",
