"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"3","Sea Surface Total Chlorophyll Mass Concentration","kg m-3","sum of chlorophyll from all phytoplankton group concentrations at the sea surface.  In most models this is equal to chldiat+chlmisc, that is the sum of ""Diatom Chlorophyll Mass Concentration"" plus ""Other Phytoplankton Chlorophyll Mass Concentration""","sum of chlorophyll from all phytoplankton group concentrations at the sea surface.  In most models this is equal to chldiat+chlmisc, that is the sum of ""Diatom Chlorophyll Mass Concentration"" plus ""Other Phytoplankton Chlorophyll Mass Concentration""","chlos","mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water","time: mean area: mean where sea",,"real","longitude latitude time","chlos","ocnBgchem","day","area: areacello volume: volcello","CMIP6 [OMIP] ((isd.001))","bgc","6","1c757370cf83e5619efc0de4d1241f47","AerChemMIP,C4MIP,CFMIP,CORDEX,HighResMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DECK,HighResMIP,LUMIP,ScenarioMIP,VolMIP","baa161ba-e5dd-11e5-8482-ac72891c3257",,,,,,"False","lo-la-ti_a:m-sea_chlos",
"3","Sea Surface Phytoplankton Carbon Concentration","mol m-3","sum of phytoplankton organic carbon component concentrations at the sea surface","sum of phytoplankton organic carbon component concentrations at the sea surface","phycos","mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water","time: mean area: mean where sea",,"real","longitude latitude time","phycos","ocnBgchem","day","area: areacello volume: volcello","CMIP6 [OMIP] ((isd.001))","bgc","7","314e3eb73c9ccbdd132899317d87d856","AerChemMIP,CFMIP,CORDEX,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","baa165e8-e5dd-11e5-8482-ac72891c3257",,,,,,"False","lo-la-ti_a:m-sea_phycos",
"3","Square of Sea Surface Temperature","degree_C2","square of temperature of liquid ocean, averaged over the day.","square of temperature of liquid ocean, averaged over the day.","tossq","square_of_sea_surface_temperature","time: mean",,"real","longitude latitude time","tossq","ocean","day","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","15","d1b497a4f7f4cb666757ec97d152079e","AerChemMIP,CFMIP,CORDEX,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","baa71c7c-e5dd-11e5-8482-ac72891c3257","False","False","False","False","x","NEMO:1","lo-la-ti__tossq",
"1 (3)","Sea Surface Temperature","degree_C","this may differ from ""surface temperature"" in regions of sea ice.",,"tos","sea_surface_temperature","time: mean",,"real","longitude latitude time","tos","ocean","day","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","16","0e5d376315a376cd2b1e37f440fe43d3","AerChemMIP,CFMIP,CORDEX,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","baa720e6-e5dd-11e5-8482-ac72891c3257","False","False","False","False","x","NEMO:1","lo-la-ti__tos",
"1 (3)","Sea Surface Salinity","0.001",,,"sos","sea_surface_salinity","time: mean",,"real","longitude latitude time","sos","ocean","day","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","17","74a9891bcab2667dbcb66574c6370c86","AerChemMIP,CFMIP,CORDEX,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,HighResMIP,ScenarioMIP,VolMIP","baa72514-e5dd-11e5-8482-ac72891c3257",,,,,,"NEMO:1","lo-la-ti__sos",
