"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"2","Temperature of Soil","K","""Temperature of each soil layer.  Reported as """"missing"""" for grid cells occupied entirely by """"sea"""".""","""Temperature of each soil layer.  Reported as """"missing"""" for grid cells occupied entirely by """"sea"""".""","tsl","soil_temperature","time: mean","None","real","longitude latitude sdepth time","tsl","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"26","3fd3cb4e2d6dd15b7dd73def96fea129","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","babb0732-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","UM:1","lo-la-sd-ti__tsl","m01s08i225"
"1","Tree Cover Fraction","%","fraction of entire grid cell  that is covered by trees.","fraction of entire grid cell  that is covered by trees.","treeFrac","area_fraction","time: mean","None","real","longitude latitude time","treeFrac","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"27","d3eb8c36759afa5ef2c8363e0c16db88","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","babab3ae-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","UM:1","lo-la-ti__treeFrac","m01s19i013"
"1","Natural Grass Fraction","%","fraction of entire grid cell that is covered by natural grass.","fraction of entire grid cell that is covered by natural grass.","grassFrac","area_fraction","time: mean","None","real","longitude latitude time","grassFrac","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"28","f972af18f1817a7bb5f961b534641394","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","baae910a-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","UM:1","lo-la-ti__grassFrac","m01s19i013"
"1","Shrub Fraction","%","fraction of entire grid cell  that is covered by shrub.","fraction of entire grid cell  that is covered by shrub.","shrubFrac","area_fraction","time: mean","None","real","longitude latitude time","shrubFrac","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"29","bdb1045bec7f58e9e6221cd39bb34c2f","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab76b9a-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","UM:1","lo-la-ti__shrubFrac","m01s19i013"
"1","Crop Fraction","%","fraction of entire grid cell  that is covered by crop.","fraction of entire grid cell  that is covered by crop.","cropFrac","area_fraction","time: mean","None","real","longitude latitude time","cropFrac","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"30","f730de87987b0357d3954c93c4a0c7f7","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","baab87f8-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","False","lo-la-ti__cropFrac",
"1","Anthropogenic Pasture Fraction","%","fraction of entire grid cell  that is covered by anthropogenic pasture.","fraction of entire grid cell  that is covered by anthropogenic pasture.","pastureFrac","area_fraction","time: mean","None","real","longitude latitude time","pastureFrac","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"31","64c3bc72c46203646eb28fee17f6a5f7","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab30988-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","False","lo-la-ti__pastureFrac",
"1","Bare Soil Fraction","%","fraction of entire grid cell  that is covered by bare soil.","fraction of entire grid cell  that is covered by bare soil.","baresoilFrac","area_fraction","time: mean","None","real","longitude latitude time  typebare","baresoilFrac","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"32","9cdb8d54d49e98acadd87e2a1139225e","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","baa84fd4-e5dd-11e5-8482-ac72891c3257","False","error","False","False","False","UM:1","lo-la-ti-ty__baresoilFrac","m01s19i013"
"1","Fraction of Grid Cell that is Land but Neither Vegetation-Covered nor Bare Soil","%","fraction of entire grid cell  that is land and is covered by """"non-vegetation"""" and """"non-bare-soil"""" (e.g., urban, ice, lakes, etc.)","fraction of entire grid cell  that is land and is covered by """"non-vegetation"""" and """"non-bare-soil"""" (e.g., urban, ice, lakes, etc.)","residualFrac","area_fraction","time: mean","None","real","longitude latitude time","residualFrac","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"33","e1ca31ce340d507b1dce7a537bbef951","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab4f1e4-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","UM:1","lo-la-ti__residualFrac","m01s19i013"
"1","Burnt Area Fraction","%","fraction of entire grid cell  that is covered by burnt vegetation.","fraction of entire grid cell  that is covered by burnt vegetation.","burntArea","area_fraction","time: mean","None","real","longitude latitude time","burntArea","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"34","6b6f4db537f52cf43388056ec20590af","AerChemMIP,CFMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","baa88256-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","False","lo-la-ti__burntArea",
"1","leaf area index","1.0",,"a ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.","lai","leaf_area_index","time: mean area: mean where land","None","real","longitude latitude time","lai","land","mon","area: areacella","CMIP5 [Lmon] ((isd.002))",,"40","6c3e8db1b45a6ae7e80ca5a265c0fd50","AerChemMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LUMIP,PMIP,RFMIP,VolMIP","AerChemMIP,C4MIP,CMIP6,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,LUMIP,PMIP,RFMIP,ScenarioMIP,VolMIP","bab0919e-e5dd-11e5-8482-ac72891c3257","False",-999,"TLAI","x","False","UM:1","lo-la-ti_a:m-land_lai","m01s19i007"
