"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Moisture in Upper Portion of Soil Column","kg m-2","the mass of water in all phases in a thin surface soil layer.","the mass of water in all phases in a thin surface soil layer.","mrsos","moisture_content_of_soil_layer","time: mean area: mean where land","None","real","longitude latitude time  sdepth1","mrsos","land","day","area: areacella","CMIP5 [day] ((isd.002))",,"33","40c091a01dc9db6d6d5901528c375ab3","AerChemMIP,CFMIP,CORDEX,DAMIP,GMMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,HighResMIP,ScenarioMIP,VolMIP","bab1ca14-e5dd-11e5-8482-ac72891c3257","False",1,"SOILWATER_10CM","False","False","UM:1","lo-la-ti-sd_a:m-land_mrsos","m01s08i223"
"1","Near-Surface Relative Humidity","%","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","rhs","relative_humidity","time: mean","None","real","longitude latitude time  height2m","rhs","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"34","d177efaeb802415fa302b7c732217ed9","AerChemMIP,CFMIP,CORDEX,DAMIP,GMMIP,HighResMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,HighResMIP,PMIP,ScenarioMIP,VolMIP","bab506c0-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti-h__rhs","m01s03i245"
"1","Surface Daily Minimum Relative Humidity","%","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","rhsmin","relative_humidity","time: minimum","None","real","longitude latitude time  height2m","rhsmin","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"35","f0cd7a19616a712a0745ff98ae859304","AerChemMIP,CFMIP,CORDEX,DAMIP,GMMIP,HighResMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,HighResMIP,PMIP,ScenarioMIP,VolMIP","bab50ec2-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","False","UM:1","lo-la-ti-h__rhsmin","m01s03i245"
"1","Surface Daily Maximum Relative Humidity","%","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","This is the relative humidity with respect to liquid water for T> 0 C, and with respect to ice for T<0 C.","rhsmax","relative_humidity","time: maximum","None","real","longitude latitude time  height2m","rhsmax","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"36","f819bf46c859cfcad26a8899dadd02aa","AerChemMIP,CFMIP,CORDEX,DAMIP,GMMIP,HighResMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,HighResMIP,PMIP,ScenarioMIP,VolMIP","bab50ad0-e5dd-11e5-8482-ac72891c3257","False",1,"False","False","False","UM:1","lo-la-ti-h__rhsmax","m01s03i245"
"1","Snow Area Fraction","%","Fraction of each grid cell that is occupied by snow that rests on land portion of cell.","None","snc","surface_snow_area_fraction","time: mean","None","real","longitude latitude time","snc","landIce land","day","area: areacella","CMIP5 [day] ((isd.002))",,"37","e53e97d7e904fe67aa54b721b3c6a290","AerChemMIP,CFMIP,CORDEX,DAMIP,GMMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,HighResMIP,ScenarioMIP,VolMIP","bab7c75c-e5dd-11e5-8482-ac72891c3257","False",1,"FSNO","False","False","False","lo-la-ti__snc",
"1","Cloud Area Fraction","1.0","cloud area fraction","for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes both large-scale and convective cloud.","clt","cloud_area_fraction_in_atmosphere_layer","time: mean","None","real","longitude latitude time","clt","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"38","7c2249d424dde72f8616d42870a9d425","AerChemMIP,CFMIP,CORDEX,DAMIP,DCPP,GMMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GMMIP,HighResMIP,ScenarioMIP,VolMIP","baaace4e-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__clt","m01s02i204"
"1","Surface Temperature where Land or Sea Ice","K","""skin"" temperature of all surfaces except open ocean.","""""""skin"""" temperature of all surfaces except open ocean.  ""","tslsi","surface_temperature","time: mean","None","real","longitude latitude time","tslsi","land","day","area: areacella","CMIP5 [day] ((isd.002))",,"39","2a92e434b37059d90e72b193bdbcce0f","AerChemMIP,CFMIP,CORDEX,DAMIP,GMMIP,HighResMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,HighResMIP,PMIP,ScenarioMIP,VolMIP","babb0eb2-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__tslsi","m01s00i024"
"1","Surface Snow Amount","kg m-2","the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as 0.0 where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.","the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; reported as 0.0 where the land fraction is 0; excludes snow on vegetation canopy or on sea ice.","snw","surface_snow_amount","time: mean area: mean where land","None","real","longitude latitude time","snw","landIce land","day","area: areacella","CMIP5 [day] ((isd.002))",,"40","0e1704f8fbacbe223946d84392b8064e","AerChemMIP,CFMIP,CORDEX,DAMIP,GMMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,HighResMIP,ScenarioMIP,VolMIP","bab820b2-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti_a:m-land_snw","m01s00i023"
"1","Convective Precipitation","kg m-2 s-1","at surface; includes both liquid and solid phases.","at surface; includes both liquid and solid phases.","prc","convective_precipitation_flux","time: mean","None","real","longitude latitude time","prc","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"41","aa2bea81f238ad8f2c35a7e16ad97801","AerChemMIP,CFMIP,CORDEX,DAMIP,GMMIP,GeoMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,GMMIP,GeoMIP,HighResMIP,ScenarioMIP,VolMIP","bab3fde8-e5dd-11e5-8482-ac72891c3257","x",1,"False","x","x","UM:1","lo-la-ti__prc","m01s05i205,m01s05i206"
"1","Snowfall Flux","kg m-2 s-1","at surface; includes precipitation of all forms of water in the solid phase","at surface; includes precipitation of all forms of water in the solid phase","prsn","snowfall_flux","time: mean","None","real","longitude latitude time","prsn","atmos","day","area: areacella","CMIP5 [day] ((isd.002))",,"42","051919eddec810e292c883205c944ceb","AerChemMIP,CFMIP,CORDEX,DAMIP,DCPP,GMMIP,HighResMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DCPP,DECK,GMMIP,HighResMIP,ScenarioMIP,VolMIP","bab43b50-e5dd-11e5-8482-ac72891c3257","x",1,"SNOW","x","x","UM:1","lo-la-ti__prsn","m01s05i215"
