"Priority","Long name","units","description","comment","Variable Name","CF Standard Name","cell_methods","positive","type","dimensions","CMOR Name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Sea Level Pressure","Pa","unset","None","psl","air_pressure_at_sea_level",,"None","real","longitude latitude time1","psl","atmos","6hr","area: areacella","CMIP5 [6hrPlev] ((isd.002))",,"18","3d23c359f44d6a153c4dcab9e07d7cb6","CORDEX,DAMIP,DCPP,HighResMIP,VolMIP","CMIP6,DAMIP,DCPP,DECK,HighResMIP,ScenarioMIP,VolMIP","bab48ab0-e5dd-11e5-8482-ac72891c3257","x",1,"PSL","x","x","False","lo-la-ti__psl","m01s16i222"
"1","Geopotential Height","m",,"Geopotential height","zg","geopotential_height","time: point","None","real","longitude latitude plev7h time1","zg7h","atmos","6hr","area: areacella","HighResMIP [6hrPlev_extr]",,"20","28e774ec0ecd561a6a3d437e6c443a6b","HighResMIP","CMIP6,DECK,HighResMIP","0ad6634e-00a8-11e6-ab7d-5404a60d96b5","x",-999,"Z3","x","x","False","lo-la-p-ti__zg7h","m01s30i207,m01s30i301"
"1","Eastward Wind","m s-1",,"plev_4","ua","eastward_wind","time: mean","None","real","longitude latitude plev4 time","ua4","atmos","6hr","area: areacella","HighResMIP [6hrPlev_extr_dr]",,"24","21db90c0a12448299f855fdab60930d4","HighResMIP","CMIP6,DECK,HighResMIP","0ad678b6-00a8-11e6-ab7d-5404a60d96b5","x",1,"False","x","x","False","lo-la-p-ti__ua4","m01s30i201,m01s30i301"
"1","Northward Wind","m s-1",,"plev_4","va","northward_wind","time: mean","None","real","longitude latitude plev4 time","va4","atmos","6hr","area: areacella","HighResMIP [6hrPlev_extr_dr]",,"25","2dedcb347c18e132a2f4d625abf94585","HighResMIP","CMIP6,DECK,HighResMIP","0ad67de8-00a8-11e6-ab7d-5404a60d96b5","x",1,"False","x","x","False","lo-la-p-ti__va4","m01s30i202,m01s30i301"
"1","omega (=dp/dt)","Pa s-1","commonly referred to as """"omega"""", this represents the vertical component of velocity in pressure coordinates (positive down)","plev_4","wap","lagrangian_tendency_of_air_pressure","time: mean","None","real","longitude latitude plev4 time","wap4","atmos","6hr","area: areacella","HighResMIP [6hrPlev_extr_dr]",,"26","51fb29dd55442361fa9c5dbe23aca9c6","HighResMIP","CMIP6,DECK,HighResMIP","0ad68310-00a8-11e6-ab7d-5404a60d96b5","False",1,"OMEGA","x","x","False","lo-la-p-ti__wap4","m01s30i208,m01s30i301"
"1","Specific Humidity","1.0",,"plev_4","hus","specific_humidity","time: mean","None","real","longitude latitude plev4 time","hus4","atmos","6hr","area: areacella","HighResMIP [6hrPlev_extr_dr]",,"27","53f4724d228998d54191c73352532ce3","HighResMIP","CMIP6,DECK,HighResMIP","0ad68824-00a8-11e6-ab7d-5404a60d96b5","x",-999,"False","x","x","False","lo-la-p-ti__hus4","m01s30i205,m01s30i301"
