"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"2","Water Flux into Sea Water From Rivers","kg m-2 s-1","computed as the river flux of water into the ocean divided by the area of the ocean portion of the grid cell.","computed as the river flux of water into the ocean divided by the area of the ocean portion of the grid cell.","friver","water_flux_into_sea_water_from_rivers","time: mean area: mean where sea",,"real","longitude latitude time","friver","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","70","be153e40e1e09d1d46a191b3a99be7f5","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa6247a-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","NEMO:1","lo-la-ti_a:m-sea_friver",
"2","Water Flux into Sea Water From Icebergs","kg m-2 s-1","computed as the iceberg melt water  flux into the ocean divided by the area of the ocean portion of the grid cell.","computed as the iceberg melt water  flux into the ocean divided by the area of the ocean portion of the grid cell.","ficeberg","water_flux_into_sea_water_from_icebergs","time: mean area: mean where sea",,"real","longitude latitude olevel time","ficeberg","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","71","0638f32ebcc32d63faad121d5a83e3be","AerChemMIP,CFMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CFMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa628c6-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ol-ti_a:m-sea_ficeberg",
"2","Water Flux into Sea Water From Icebergs","kg m-2 s-1","computed as the iceberg melt water  flux into the ocean divided by the area of the ocean portion of the grid cell.","computed as the iceberg melt water flux into the ocean divided by the area of the ocean portion of the grid cell.","ficeberg","water_flux_into_sea_water_from_icebergs","time: mean area: mean where sea",,"real","longitude latitude time","ficeberg2d","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","71","0638f32ebcc32d63faad121d5a83e3be","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa62cea-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","NEMO:1","lo-la-ti_a:m-sea_ficeberg2d",
"1","Water Flux into Sea Water due to Sea Ice Thermodynamics","kg m-2 s-1","computed as the sea ice thermodynamic water flux into the ocean divided by the area of the ocean portion of the grid cell.","computed as the sea ice thermodynamic water flux into the ocean divided by the area of the ocean portion of the grid cell.","fsitherm","water_flux_into_sea_water_due_to_sea_ice_thermodynamics","time: mean area: mean where sea",,"real","longitude latitude time","fsitherm","ocean seaIce","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","73","f718ef1940e6feab018d81f508bd87c2","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa63136-e5dd-11e5-8482-ac72891c3257","False",-999,"False","False","False","False","lo-la-ti_a:m-sea_fsitherm",
"1","Water Flux into Sea Water","kg m-2 s-1","computed as the water  flux into the ocean divided by the area of the ocean portion of the grid cell.  This is the sum of the next two variables in this table.","computed as the water  flux into the ocean divided by the area of the ocean portion of the grid cell.  This is the sum of the next two variables in this table.","wfo","water_flux_into_sea_water","time: mean area: mean where sea",,"real","longitude latitude time","wfo","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","74","c3805ef555348a5f525cf09ccb254af4","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa63578-e5dd-11e5-8482-ac72891c3257","False","False","x","False","x","False","lo-la-ti_a:m-sea_wfo",
"1","Water Flux into Sea Water Without Flux Correction","kg m-2 s-1","computed as the water  flux (without flux correction) into the ocean divided by the area of the ocean portion of the grid cell.","computed as the water  flux (without flux correction) into the ocean divided by the area of the ocean portion of the grid cell.","wfonocorr","water_flux_into_sea_water_without_flux_correction","time: mean area: mean where sea",,"real","longitude latitude time","wfonocorr","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","75","4d42d6e262fdc2c20cf8e2e82826e0c8","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,ISMIP6,OMIP,PMIP,ScenarioMIP,VolMIP","baa639b0-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_wfonocorr",
"2","Virtual Salt Flux into Sea Water due to Rainfall","kg m-2 s-1","zero for models using real water fluxes.","zero for models using real water fluxes.","vsfpr","virtual_salt_flux_into_sea_water_due_to_rainfall","time: mean area: mean where sea",,"real","longitude latitude time","vsfpr","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","79","7002f5a3bc5218f16a39f3dfabf42244","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,ScenarioMIP,VolMIP","baa649d2-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_vsfpr",
"2","Virtual Salt Flux into Sea Water due to Evaporation","kg m-2 s-1","zero for models using real water fluxes.","zero for models using real water fluxes.","vsfevap","virtual_salt_flux_into_sea_water_due_to_evaporation","time: mean area: mean where sea",,"real","longitude latitude time","vsfevap","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","80","b76d616f8f03bb60a0dffa023dfd0525","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,ScenarioMIP,VolMIP","baa64df6-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_vsfevap",
"2","Virtual Salt Flux into Sea Water From Rivers","kg m-2 s-1","zero for models using real water fluxes.","zero for models using real water fluxes.","vsfriver","virtual_salt_flux_into_sea_water_from_rivers","time: mean area: mean where sea",,"real","longitude latitude time","vsfriver","ocean","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","81","86e9eba62a2d7875705086a75ba7f78c","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,ScenarioMIP,VolMIP","baa65224-e5dd-11e5-8482-ac72891c3257","False","False","False","False","False","False","lo-la-ti_a:m-sea_vsfriver",
"2","Virtual Salt Flux into Sea Water due to Sea Ice Thermodynamics","kg m-2 s-1","This variable measures the virtual salt flux into sea water due to the melting of sea ice. It is set to zero in models which receive a real water flux.","This variable measures the virtual salt flux into sea water due to the melting of sea ice. It is set to zero in models which receive a real water flux.","vsfsit","virtual_salt_flux_into_sea_water_due_to_sea_ice_thermodynamics","time: mean area: mean where sea",,"real","longitude latitude time","vsfsit","ocean seaIce","mon","area: areacello","CMIP6 [OMIP] ((isd.001))","phys","82","d0c290e7deb148591b62f8f050a885c2","AerChemMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,VolMIP","AerChemMIP,CMIP6,DAMIP,DECK,FAFMIP,GMMIP,GeoMIP,HighResMIP,OMIP,ScenarioMIP,VolMIP","baa65648-e5dd-11e5-8482-ac72891c3257","False",2,"False","x","False","False","lo-la-ti_a:m-sea_vsfsit",
