"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
"1","Near-Surface Wind Speed","m s-1","near-surface (usually, 10 meters) wind speed.","This is the mean of the speed, not the speed computed from the mean u and v components of wind","sfcWind","wind_speed","time: mean","None","real","longitude latitude time  height10m","sfcWind","atmos","3hr",,"PRIMAVERA additional",,,,,,"prim3hr_sfcWind",,"False","U10","x","x","UM:1","lo-la-ti-h__sfcWind","m01s03i227"
"1","toa outgoing clear-sky shortwave radiation","W m-2",,"None","rsutcs","toa_outgoing_shortwave_flux_assuming_clear_sky","time: mean","up","real","longitude latitude time","rsutcs","atmos","3hr","area: areacella","MJR additional",,,,,,"prim3hr_rsutcs",,,,"x",,"UM:1","lo-la-ti__rsutcs","m01s01i209"
"1","Evaporation","kg m-2 s-1","at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation)","at surface; flux of water into the atmosphere due to conversion of both liquid and solid phases to vapor (from underlying surface and vegetation)","evspsbl","water_evaporation_flux","time: mean","None","real","longitude latitude time","evspsbl","atmos","3hr","area: areacella","MJR additional",,,,,,"prim3hr_evspsbl",,,,"x",,"UM:1","lo-la-ti__evspsbl","m01s03i223"
