"priority","long_name","units","description","comment","name","standard_name","cell_methods","positive","type","dimensions","out_name","modeling_realm","frequency","cell_measures","prov","provNote","rowIndex","vid","MIPs (requesting)","MIPs (by experiment)","uid","AWI","CNRM","CMCC","ECEarth","MPI","METOFFICE","MO_key","STASH"
1,"Daily Maximum Near-Surface Wind Speed of Gust","m s-1",,,"wsgsmax","wind_speed_of_gust","time: maximum",,"real","longitude latitude height10m time","wsgsmax","atmos","6hr",,"PRIMAVERA additional",,,,,,"prim6hr_wsgsmax",0,"False","False","x","False","UM:1","la-lo-h-ti__wsgsmax","m01s03i463"
1,"Daily Maximum Near-Surface Wind Speed","m s-1",,,"sfcWindmax","wind_speed_of_gust","time: maximum",,"real","longitude latitude height10m time","sfcWindmax","atmos","6hr",,"PRIMAVERA additional",,,,,,"prim6hr_sfcWindmax",0,"False","False","x","False","UM:1","la-lo-h-ti__sfcWindmax","m01s03i227"
1,"Wet bulb potential temperature","K",,,"wbtemp","wet_bulb_temperature","time: mean",,"real","longitude latitude plev7h time",,"atmos","6hr",,"MJR additional",,,,,,"prim6hr_wbtemp",,,"False",,,"UM:1","la-lo-p-ti__wbtemp","m01s16i205"
